Simulator Parameters:
Command line = -b 200 -fs 5 -monitor GradingMonitor -pf long.pass
RandomSeed = 1449526030229
CanNetworkBitTime = 5000 ns
Effective Can Bitrate = 199999.99999999997
Run Time = null
Real time rate = null
Acceptance Test File = long.pass
Monitors: GradingMonitor  


[Elevator] @14640.000000000: Progress indicator
[Elevator] @14700.000000000: Progress indicator
[Elevator] @14760.000000000: Progress indicator
[Elevator] @14820.000000000: Progress indicator
[Elevator] @14880.000000000: Progress indicator
[Elevator] @14940.000000000: Progress indicator
[Elevator] @15000.000000000: Progress indicator
[Elevator] @15060.000000000: Progress indicator
[Elevator] @15120.000000000: Progress indicator
[Elevator] @15180.000000000: Progress indicator
[Elevator] @15240.000000000: Progress indicator
[Elevator] @15300.000000000: Progress indicator
[Elevator] @15360.000000000: Progress indicator
[Elevator] @15420.000000000: Progress indicator
[Elevator] @15480.000000000: Progress indicator
[Elevator] @15540.000000000: Progress indicator
[Elevator] @15600.000000000: Progress indicator
[Elevator] @15660.000000000: Progress indicator
[Elevator] @15720.000000000: Progress indicator
[Elevator] @15780.000000000: Progress indicator
[Elevator] @15840.000000000: Progress indicator
[Elevator] @15900.000000000: Progress indicator
[Elevator] @15960.000000000: Progress indicator
[Elevator] @16020.000000000: Progress indicator
[Elevator] @16080.000000000: Progress indicator
[Elevator] @16140.000000000: Progress indicator
[Elevator] @16200.000000000: Progress indicator
[Elevator] @16260.000000000: Progress indicator
[Elevator] @16320.000000000: Progress indicator
[Elevator] @16380.000000000: Progress indicator
[Elevator] @16440.000000000: Progress indicator
[Elevator] @16500.000000000: Progress indicator
[Elevator] @16560.000000000: Progress indicator
[Elevator] @16620.000000000: Progress indicator
[Elevator] @16680.000000000: Progress indicator
[Elevator] @16740.000000000: Progress indicator
[Elevator] @16800.000000000: Progress indicator
[Elevator] @16860.000000000: Progress indicator
[Elevator] @16920.000000000: Progress indicator
[Elevator] @16980.000000000: Progress indicator
[Elevator] @17040.000000000: Progress indicator
[Elevator] @17100.000000000: Progress indicator
[Elevator] @17160.000000000: Progress indicator
[Elevator] @17220.000000000: Progress indicator
[Elevator] @17280.000000000: Progress indicator
[Elevator] @17340.000000000: Progress indicator
[Elevator] @17400.000000000: Progress indicator
[Elevator] @17460.000000000: Progress indicator
[Elevator] @17520.000000000: Progress indicator
[Elevator] @17580.000000000: Progress indicator
[Elevator] @17640.000000000: Progress indicator
[Elevator] @17700.000000000: Progress indicator
[Elevator] @17760.000000000: Progress indicator
[Elevator] @17820.000000000: Progress indicator
[Elevator] @17880.000000000: Progress indicator
[Elevator] @17940.000000000: Progress indicator
[Elevator] @18000.000000000: Progress indicator
[Elevator] @18060.000000000: Progress indicator
[Elevator] @18120.000000000: Progress indicator
[Elevator] @18180.000000000: Progress indicator
[Elevator] @18240.000000000: Progress indicator
[Elevator] @18300.000000000: Progress indicator
[Elevator] @18360.000000000: Progress indicator
[Elevator] @18420.000000000: Progress indicator
[Elevator] @18480.000000000: Progress indicator
[Elevator] @18540.000000000: Progress indicator
[Elevator] @18600.000000000: Progress indicator
[Elevator] @18660.000000000: Progress indicator
[Elevator] @18720.000000000: Progress indicator
[Elevator] @18780.000000000: Progress indicator
[Elevator] @18840.000000000: Progress indicator
[Elevator] @18900.000000000: Progress indicator
[Elevator] @18960.000000000: Progress indicator
[Elevator] @19020.000000000: Progress indicator
[Elevator] @19080.000000000: Progress indicator
[Elevator] @19140.000000000: Progress indicator
[Elevator] @19200.000000000: Progress indicator
[Elevator] @19260.000000000: Progress indicator
[Elevator] @19320.000000000: Progress indicator
[Elevator] @19380.000000000: Progress indicator
[Elevator] @19440.000000000: Progress indicator
[Elevator] @19500.000000000: Progress indicator
[Elevator] @19560.000000000: Progress indicator
[Elevator] @19620.000000000: Progress indicator
[Elevator] @19680.000000000: Progress indicator
[Elevator] @19740.000000000: Progress indicator
[Elevator] @19800.000000000: Progress indicator
[Elevator] @19860.000000000: Progress indicator
[Elevator] @19920.000000000: Progress indicator
[Elevator] @19980.000000000: Progress indicator
[Elevator] @20040.000000000: Progress indicator
[Elevator] @20100.000000000: Progress indicator
[Elevator] @20160.000000000: Progress indicator
[Elevator] @20220.000000000: Progress indicator
[Elevator] @20280.000000000: Progress indicator
[Elevator] @20340.000000000: Progress indicator
[Elevator] @20400.000000000: Progress indicator
[Elevator] @20460.000000000: Progress indicator
[Elevator] @20520.000000000: Progress indicator
[Elevator] @20580.000000000: Progress indicator
[Elevator] @20640.000000000: Progress indicator
[Elevator] @20700.000000000: Progress indicator
[Elevator] @20760.000000000: Progress indicator
[Elevator] @20820.000000000: Progress indicator
[Elevator] @20880.000000000: Progress indicator
[Elevator] @20940.000000000: Progress indicator
[Elevator] @21000.000000000: Progress indicator
[Elevator] @21060.000000000: Progress indicator
[Elevator] @21120.000000000: Progress indicator
[Elevator] @21180.000000000: Progress indicator
[Elevator] @21240.000000000: Progress indicator
[Elevator] @21300.000000000: Progress indicator
[Elevator] @21360.000000000: Progress indicator
[Elevator] @21420.000000000: Progress indicator
[Elevator] @21480.000000000: Progress indicator
[Elevator] @21540.000000000: Progress indicator
[Elevator] @21600.000000000: Progress indicator
[Elevator] @21660.000000000: Progress indicator
[Elevator] @21720.000000000: Progress indicator
[Elevator] @21780.000000000: Progress indicator
[Elevator] @21840.000000000: Progress indicator
[Elevator] @21900.000000000: Progress indicator
